name,country,region,population
Majah Ha Adrif,Afghanistan,SOUTH ASIA,42.4
Haroon al-Afghani,Afghanistan,SOUTH ASIA,42.4
Tayyab Agha,Afghanistan,SOUTH ASIA,42.4
Khadija Zahra Ahmadi,Afghanistan,SOUTH ASIA,42.4
Aziza Ahmadyar,Afghanistan,SOUTH ASIA,42.4
Muqadasa Ahmadzai,Afghanistan,SOUTH ASIA,42.4
Mohammad Sarwar Ahmedzai,Afghanistan,SOUTH ASIA,42.4
Amir Muhammad Akhundzada,Afghanistan,SOUTH ASIA,42.4
Nasrullah Baryalai Arsalai,Afghanistan,SOUTH ASIA,42.4
Abdul Rahim Ayoubi,Afghanistan,SOUTH ASIA,42.4
Ismael Balkhi,Afghanistan,SOUTH ASIA,42.4
Abdul Baqi Turkistani,Afghanistan,SOUTH ASIA,42.4
Mohammad Ghous Bashiri,Afghanistan,SOUTH ASIA,42.4
Jan Baz,Afghanistan,SOUTH ASIA,42.4
Bashir Ahmad Bezan,Afghanistan,SOUTH ASIA,42.4
Rafiullah Bidar,Afghanistan,SOUTH ASIA,42.4
Mohammad Siddiq Chakari,Afghanistan,SOUTH ASIA,42.4
Cheragh Ali Cheragh,Afghanistan,SOUTH ASIA,42.4
Nasir Ahmad Durrani,Afghanistan,SOUTH ASIA,42.4
Muhammad Hashim Esmatullahi,Afghanistan,SOUTH ASIA,42.4
Ezatullah (Nangarhar),Afghanistan,SOUTH ASIA,42.4
Aimal Faizi,Afghanistan,SOUTH ASIA,42.4
Gajinder Singh Safri,Afghanistan,SOUTH ASIA,42.4
Sharif Ghalib,Afghanistan,SOUTH ASIA,42.4
Hashmat Ghani Ahmadzai,Afghanistan,SOUTH ASIA,42.4
Abdul Ghani Ghani,Afghanistan,SOUTH ASIA,42.4
Ghulam Ghaus,Afghanistan,SOUTH ASIA,42.4
Ghulam Muhammad Ghobar,Afghanistan,SOUTH ASIA,42.4
Mohammad Gul (Helmand Council),Afghanistan,SOUTH ASIA,42.4
Sayed Yousuf Halim,Afghanistan,SOUTH ASIA,42.4
Rangina Hamidi,Afghanistan,SOUTH ASIA,42.4
Sayed Zafar Hashemi,Afghanistan,SOUTH ASIA,42.4
Qutbuddin Hilal,Afghanistan,SOUTH ASIA,42.4
Mahboba Hoqomal,Afghanistan,SOUTH ASIA,42.4
Musa Hotak,Afghanistan,SOUTH ASIA,42.4
Mirza Muhammad Ismail,Afghanistan,SOUTH ASIA,42.4
Sayed Jalal,Afghanistan,SOUTH ASIA,42.4
Said Tayeb Jawad,Afghanistan,SOUTH ASIA,42.4
Sayed Jalal Karim,Afghanistan,SOUTH ASIA,42.4
Hafizullah Shabaz Khail,Afghanistan,SOUTH ASIA,42.4
Masoud Khalili,Afghanistan,SOUTH ASIA,42.4
Mohammad Khan (athlete),Afghanistan,SOUTH ASIA,42.4
Samoud Khan,Afghanistan,SOUTH ASIA,42.4
Baran Khan Kudezai,Afghanistan,SOUTH ASIA,42.4
Azizullah Lodin,Afghanistan,SOUTH ASIA,42.4
Razaq Mamoon,Afghanistan,SOUTH ASIA,42.4
Fazel Ahmed Manawi,Afghanistan,SOUTH ASIA,42.4
Moeen Marastial,Afghanistan,SOUTH ASIA,42.4
Ahmad Wali Massoud,Afghanistan,SOUTH ASIA,42.4
Mohammad Daud Miraki,Afghanistan,SOUTH ASIA,42.4
Abdul Sattar Mirzakwal,Afghanistan,SOUTH ASIA,42.4
Abdul Karim Misaq,Afghanistan,SOUTH ASIA,42.4
Ali Mohammad (politician),Afghanistan,SOUTH ASIA,42.4
Nasruddin Mohseni,Afghanistan,SOUTH ASIA,42.4
Davood Moradian,Afghanistan,SOUTH ASIA,42.4
Zalmai Mujadidi,Afghanistan,SOUTH ASIA,42.4
Sardar Mohammad Nadir Naeem,Afghanistan,SOUTH ASIA,42.4
Daoud Naji,Afghanistan,SOUTH ASIA,42.4
Gholam Rabani Nasher,Afghanistan,SOUTH ASIA,42.4
Ghulam Faroq Nijrabi,Afghanistan,SOUTH ASIA,42.4
Zabih-U-llah Ghazi Noristani,Afghanistan,SOUTH ASIA,42.4
Mohammed Tahir Omar,Afghanistan,SOUTH ASIA,42.4
Mohammed Qalamuddin,Afghanistan,SOUTH ASIA,42.4
Ghulam Mohammad Rigi,Afghanistan,SOUTH ASIA,42.4
Ghulam Hassan Safi,Afghanistan,SOUTH ASIA,42.4
Hanifa Safi,Afghanistan,SOUTH ASIA,42.4
Mohammed Zia Salehi,Afghanistan,SOUTH ASIA,42.4
Abdul Majid Samim,Afghanistan,SOUTH ASIA,42.4
Saber Sangar,Afghanistan,SOUTH ASIA,42.4
Sayed Nasim Mihanparast,Afghanistan,SOUTH ASIA,42.4
Suhail Shaheen,Afghanistan,SOUTH ASIA,42.4
Fazal Hadi Shinwari,Afghanistan,SOUTH ASIA,42.4
Baktash Siawash,Afghanistan,SOUTH ASIA,42.4
Hasan Ali Sultani,Afghanistan,SOUTH ASIA,42.4
Mohammad Hashem Taufiqui,Afghanistan,SOUTH ASIA,42.4
Pacha Gul Wafadar,Afghanistan,SOUTH ASIA,42.4
Wahidullah Waissi,Afghanistan,SOUTH ASIA,42.4
Ahmadullah Wasiq,Afghanistan,SOUTH ASIA,42.4
Gul Ahmmad Yama,Afghanistan,SOUTH ASIA,42.4
Abdul Salam Zaeef,Afghanistan,SOUTH ASIA,42.4
Abdul Zahir (Konar Education Minister),Afghanistan,SOUTH ASIA,42.4
Mohammed Zaman,Afghanistan,SOUTH ASIA,42.4
Ziauddin (Afghan militia leader),Afghanistan,SOUTH ASIA,42.4
Qari Ziauddin,Afghanistan,SOUTH ASIA,42.4
Abdul Ghafor Zori,Afghanistan,SOUTH ASIA,42.4
Ali Pasha of Gusinje,Albania,SOUTHERN EUROPE,2.7
Ylli Asllani,Albania,SOUTHERN EUROPE,2.7
Azis Tahir Ajdonati,Albania,SOUTHERN EUROPE,2.7
Bislim Bajgora,Albania,SOUTHERN EUROPE,2.7
Kastriot Berissa,Albania,SOUTHERN EUROPE,2.7
Bardhok Biba,Albania,SOUTHERN EUROPE,2.7
Kostandin Boshnjaku,Albania,SOUTHERN EUROPE,2.7
Spartak Braho,Albania,SOUTHERN EUROPE,2.7
Safet Butka,Albania,SOUTHERN EUROPE,2.7
Uran Butka,Albania,SOUTHERN EUROPE,2.7
Refo Çapari,Albania,SOUTHERN EUROPE,2.7
Neritan Ceka,Albania,SOUTHERN EUROPE,2.7
Hysni Curri,Albania,SOUTHERN EUROPE,2.7
Ibrahim Dalliu,Albania,SOUTHERN EUROPE,2.7
Niazi Demi,Albania,SOUTHERN EUROPE,2.7
Abdurrahman Dibra,Albania,SOUTHERN EUROPE,2.7
Bujar Dida,Albania,SOUTHERN EUROPE,2.7
Ahmed Dino,Albania,SOUTHERN EUROPE,2.7
Rasih Dino,Albania,SOUTHERN EUROPE,2.7
Ferhat Bey Draga,Albania,SOUTHERN EUROPE,2.7
Nexhip Draga,Albania,SOUTHERN EUROPE,2.7
Aqif Pasha Elbasani,Albania,SOUTHERN EUROPE,2.7
Abas Ermenji,Albania,SOUTHERN EUROPE,2.7
Qamil Musa Haxhi Feza,Albania,SOUTHERN EUROPE,2.7
Themistokli Gërmenji,Albania,SOUTHERN EUROPE,2.7
Sabri Godo,Albania,SOUTHERN EUROPE,2.7
Mihal Grameno,Albania,SOUTHERN EUROPE,2.7
Aćif Hadžiahmetović,Albania,SOUTHERN EUROPE,2.7
High Council of Regency,Albania,SOUTHERN EUROPE,2.7
Kurt Agë Kadiu,Albania,SOUTHERN EUROPE,2.7
Mehmed Kalakula,Albania,SOUTHERN EUROPE,2.7
Alfred Karamuço,Albania,SOUTHERN EUROPE,2.7
Ibrahim Karbunara,Albania,SOUTHERN EUROPE,2.7
Ali Këlcyra,Albania,SOUTHERN EUROPE,2.7
Bajram Kelmendi,Albania,SOUTHERN EUROPE,2.7
Kristo Kirka,Albania,SOUTHERN EUROPE,2.7
Elez Koçi,Albania,SOUTHERN EUROPE,2.7
Xhelal Koprëncka,Albania,SOUTHERN EUROPE,2.7
Kryeziu family,Albania,SOUTHERN EUROPE,2.7
Artur Kuko,Albania,SOUTHERN EUROPE,2.7
Xhavid Leskoviku,Albania,SOUTHERN EUROPE,2.7
Sabit Lulo,Albania,SOUTHERN EUROPE,2.7
Gjon Markagjoni,Albania,SOUTHERN EUROPE,2.7
Tefik Mborja,Albania,SOUTHERN EUROPE,2.7
Hysni Milloshi,Albania,SOUTHERN EUROPE,2.7
Musa Qazimi,Albania,SOUTHERN EUROPE,2.7
Mustafa Ndroqi,Albania,SOUTHERN EUROPE,2.7
Behxhet Nepravishta,Albania,SOUTHERN EUROPE,2.7
Adrian Neritani,Albania,SOUTHERN EUROPE,2.7
Sali Nivica,Albania,SOUTHERN EUROPE,2.7
Thoma Orologa,Albania,SOUTHERN EUROPE,2.7
Bedri Pejani,Albania,SOUTHERN EUROPE,2.7
Kadri Prishtina,Albania,SOUTHERN EUROPE,2.7
Ymer Prizreni,Albania,SOUTHERN EUROPE,2.7
Avni Rustemi,Albania,SOUTHERN EUROPE,2.7
Chatin Sarachi,Albania,SOUTHERN EUROPE,2.7
Nebi Sefa,Albania,SOUTHERN EUROPE,2.7
Eduard Shalsi,Albania,SOUTHERN EUROPE,2.7
Ylli Vesel Shehu,Albania,SOUTHERN EUROPE,2.7
Athanas Shundi,Albania,SOUTHERN EUROPE,2.7
Xhelal Sveçla,Albania,SOUTHERN EUROPE,2.7
Mehmet Tahsini,Albania,SOUTHERN EUROPE,2.7
Ibrahim Temo,Albania,SOUTHERN EUROPE,2.7
Afrim Tole,Albania,SOUTHERN EUROPE,2.7
Syreja Vlora,Albania,SOUTHERN EUROPE,2.7
Visarion Xhuvani,Albania,SOUTHERN EUROPE,2.7
Visar Ymeri,Albania,SOUTHERN EUROPE,2.7
Abdyl Ypi,Albania,SOUTHERN EUROPE,2.7
Xhezair Zaganjori,Albania,SOUTHERN EUROPE,2.7
Menduh Zavalani,Albania,SOUTHERN EUROPE,2.7
Abdelkader Zoukh,Algeria,NORTHERN AFRICA,46.8
Chaâbane Aït Abderrahim,Algeria,NORTHERN AFRICA,46.8
Ali Aoun,Algeria,NORTHERN AFRICA,46.8
Basma Azouar,Algeria,NORTHERN AFRICA,46.8
Mohamed Seghir Babes,Algeria,NORTHERN AFRICA,46.8
Noureddine Bahbouh,Algeria,NORTHERN AFRICA,46.8
Lamine Bechichi,Algeria,NORTHERN AFRICA,46.8
Aïssa Bekkai,Algeria,NORTHERN AFRICA,46.8
Abdelhakim Belabed,Algeria,NORTHERN AFRICA,46.8
Mohamed Tarek Belaribi,Algeria,NORTHERN AFRICA,46.8
Kamel Beldjoud,Algeria,NORTHERN AFRICA,46.8
Aboubakr Belkaid,Algeria,NORTHERN AFRICA,46.8
Youcef Belmehdi,Algeria,NORTHERN AFRICA,46.8
Mohamed Cherif Belmihoub,Algeria,NORTHERN AFRICA,46.8
Mohamed Belouizdad,Algeria,NORTHERN AFRICA,46.8
Benaouda Hadj Hacène Bachterzi,Algeria,NORTHERN AFRICA,46.8
Souad Bendjaballah,Algeria,NORTHERN AFRICA,46.8
Abdelkrim Benmbarek,Algeria,NORTHERN AFRICA,46.8
Mohamed Bensalam,Algeria,NORTHERN AFRICA,46.8
Fayçal Bentaleb,Algeria,NORTHERN AFRICA,46.8
Ahmed Bidani,Algeria,NORTHERN AFRICA,46.8
Kamel Bidari,Algeria,NORTHERN AFRICA,46.8
Rachid Bladehane,Algeria,NORTHERN AFRICA,46.8
Saïd Boualam,Algeria,NORTHERN AFRICA,46.8
Rabah Bouaziz,Algeria,NORTHERN AFRICA,46.8
Abdeslam Bouchouareb,Algeria,NORTHERN AFRICA,46.8
Ibrahim Boughali,Algeria,NORTHERN AFRICA,46.8
Yahia Boukhari,Algeria,NORTHERN AFRICA,46.8
Mohamed Bouslimani,Algeria,NORTHERN AFRICA,46.8
Foued Chehat,Algeria,NORTHERN AFRICA,46.8
Hamza Al Sid Cheikh,Algeria,NORTHERN AFRICA,46.8
Hocine Cherhabil,Algeria,NORTHERN AFRICA,46.8
Abderrahmane Meziane Chérif,Algeria,NORTHERN AFRICA,46.8
Saïd Chibane,Algeria,NORTHERN AFRICA,46.8
Brahim Chibout,Algeria,NORTHERN AFRICA,46.8
Youcef Chorfa,Algeria,NORTHERN AFRICA,46.8
Fazia Dahleb,Algeria,NORTHERN AFRICA,46.8
Taha Derbal,Algeria,NORTHERN AFRICA,46.8
Nassim Diafat,Algeria,NORTHERN AFRICA,46.8
Mokhtar Didouche,Algeria,NORTHERN AFRICA,46.8
Bouras Djamel,Algeria,NORTHERN AFRICA,46.8
Fatiha Serour,Algeria,NORTHERN AFRICA,46.8
Ahmed Hamiani,Algeria,NORTHERN AFRICA,46.8
Nadir Kassab,Algeria,NORTHERN AFRICA,46.8
Brahim Djamel Kassali,Algeria,NORTHERN AFRICA,46.8
Kaoutar Krikou,Algeria,NORTHERN AFRICA,46.8
Sassi Lamouri,Algeria,NORTHERN AFRICA,46.8
Mohamed Maghlaoui,Algeria,NORTHERN AFRICA,46.8
Amar Makhloufi,Algeria,NORTHERN AFRICA,46.8
Yassine Merabi,Algeria,NORTHERN AFRICA,46.8
Brahim Merad,Algeria,NORTHERN AFRICA,46.8
Bachir Messaitfa,Algeria,NORTHERN AFRICA,46.8
Azzedine Mihoubi,Algeria,NORTHERN AFRICA,46.8
Mohamed Ali Boughazi,Algeria,NORTHERN AFRICA,46.8
Amar Mohammedi,Algeria,NORTHERN AFRICA,46.8
Samia Moualfi,Algeria,NORTHERN AFRICA,46.8
Soraya Mouloudji,Algeria,NORTHERN AFRICA,46.8
Yacine Oualid,Algeria,NORTHERN AFRICA,46.8
Cherif Rahmani,Algeria,NORTHERN AFRICA,46.8
Lakhdar Rakhroukh,Algeria,NORTHERN AFRICA,46.8
Laid Rebiga,Algeria,NORTHERN AFRICA,46.8
Kamel Rezig,Algeria,NORTHERN AFRICA,46.8
Salim Saadi,Algeria,NORTHERN AFRICA,46.8
Abdelhak Saihi,Algeria,NORTHERN AFRICA,46.8
Hichem Sofiane Salaouatchi,Algeria,NORTHERN AFRICA,46.8
Naima Salhi,Algeria,NORTHERN AFRICA,46.8
Abderezak Sebgag,Algeria,NORTHERN AFRICA,46.8
Abderrachid Tabbi,Algeria,NORTHERN AFRICA,46.8
Karim Bibi Triki,Algeria,NORTHERN AFRICA,46.8
Layachi Yaker,Algeria,NORTHERN AFRICA,46.8
Ahmed Zeghdar,Algeria,NORTHERN AFRICA,46.8
Adão Francisco Correia de Almeida,Angola,MIDDLE AFRICA,36.7
Ana Paula Chantre Luna de Carvalho,Angola,MIDDLE AFRICA,36.7
Alexandre Sebastião André,Angola,MIDDLE AFRICA,36.7
Paulino Baptista,Angola,MIDDLE AFRICA,36.7
Bernarda Gonçalves Martins,Angola,MIDDLE AFRICA,36.7
João Baptista Borges,Angola,MIDDLE AFRICA,36.7
Carolina Cerqueira,Angola,MIDDLE AFRICA,36.7
Arlete Chimbinda,Angola,MIDDLE AFRICA,36.7
Kafundanga Chingunji,Angola,MIDDLE AFRICA,36.7
Jeremias Chitunda,Angola,MIDDLE AFRICA,36.7
Abel Chivukuvuku,Angola,MIDDLE AFRICA,36.7
Fiel Domingos Constantino,Angola,MIDDLE AFRICA,36.7
Adalberto Costa Júnior,Angola,MIDDLE AFRICA,36.7
Adjany Costa,Angola,MIDDLE AFRICA,36.7
Álvaro Arnaldo Craveiro,Angola,MIDDLE AFRICA,36.7
Raul Danda,Angola,MIDDLE AFRICA,36.7
Diamantino Pedro Azevedo,Angola,MIDDLE AFRICA,36.7
Faustina Fernandes Inglês de Almeida Alves,Angola,MIDDLE AFRICA,36.7
Abraão Gourgel,Angola,MIDDLE AFRICA,36.7
Jofre Van-Dúnem Júnior,Angola,MIDDLE AFRICA,36.7
José Carvalho da Rocha,Angola,MIDDLE AFRICA,36.7
José Luis de Matos,Angola,MIDDLE AFRICA,36.7
Kambamba Kulaxingo,Angola,MIDDLE AFRICA,36.7
Jesus Faria Maiato,Angola,MIDDLE AFRICA,36.7
Manuel Neto da Costa,Angola,MIDDLE AFRICA,36.7
Manuel Tavares de Almeida,Angola,MIDDLE AFRICA,36.7
Marcos Alexandre Nhunga,Angola,MIDDLE AFRICA,36.7
Maria Cândida Pereira Teixeira,Angola,MIDDLE AFRICA,36.7
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,Angola,MIDDLE AFRICA,36.7
David Mendes,Angola,MIDDLE AFRICA,36.7
Saíde Mingas,Angola,MIDDLE AFRICA,36.7
Fernando Faustino Muteka,Angola,MIDDLE AFRICA,36.7
Pedro Mutinde,Angola,MIDDLE AFRICA,36.7
José Ndele,Angola,MIDDLE AFRICA,36.7
Ana Paula Sacramento Neto,Angola,MIDDLE AFRICA,36.7
Daniel Ntongi-Nzinga,Angola,MIDDLE AFRICA,36.7
Paula Cristina Francisco Coelho,Angola,MIDDLE AFRICA,36.7
Pedro Pedalé,Angola,MIDDLE AFRICA,36.7
Elias Salupeto Pena,Angola,MIDDLE AFRICA,36.7
Johnny Eduardo Pinnock,Angola,MIDDLE AFRICA,36.7
Santana André Pitra,Angola,MIDDLE AFRICA,36.7
Francisco Manuel Monteiro de Queiróz,Angola,MIDDLE AFRICA,36.7
José Aníbal Lopes Rocha,Angola,MIDDLE AFRICA,36.7
José da Rocha,Angola,MIDDLE AFRICA,36.7
Rosa Luís de Sousa Micolo,Angola,MIDDLE AFRICA,36.7
Luís Gomes Sambo,Angola,MIDDLE AFRICA,36.7
Branca Manuel Espirito Santo,Angola,MIDDLE AFRICA,36.7
João Ernesto dos Santos,Angola,MIDDLE AFRICA,36.7
José Filomeno dos Santos,Angola,MIDDLE AFRICA,36.7
Jonas Savimbi,Angola,MIDDLE AFRICA,36.7
Pinda Simão,Angola,MIDDLE AFRICA,36.7
Manuel Bernardo de Sousa,Angola,MIDDLE AFRICA,36.7
Augusto da Silva Tomás,Angola,MIDDLE AFRICA,36.7
José Jacinto Van-Dúnem,Angola,MIDDLE AFRICA,36.7
José Vieira Dias Van-Dúnem,Angola,MIDDLE AFRICA,36.7
Luzia Inglês Van-Dúnem,Angola,MIDDLE AFRICA,36.7
Manuel Vicente,Angola,MIDDLE AFRICA,36.7
Mfulupinga Nlando Victor,Angola,MIDDLE AFRICA,36.7
Clement Antonio,Antigua and Barbuda,CARIBBEAN,0.1
Randolph Beazer,Antigua and Barbuda,CARIBBEAN,0.1
Studiation Brown,Antigua and Barbuda,CARIBBEAN,0.1
Alex Browne (politician),Antigua and Barbuda,CARIBBEAN,0.1
Colin O'Neil Browne,Antigua and Barbuda,CARIBBEAN,0.1
James Carlisle,Antigua and Barbuda,CARIBBEAN,0.1
Gail Christian,Antigua and Barbuda,CARIBBEAN,0.1
Mackenzie Frank,Antigua and Barbuda,CARIBBEAN,0.1
Osbert Richard Frederick,Antigua and Barbuda,CARIBBEAN,0.1
Caleb Gardiner,Antigua and Barbuda,CARIBBEAN,0.1
Shenella Mary Shadida Govia,Antigua and Barbuda,CARIBBEAN,0.1
William Haynes-Smith,Antigua and Barbuda,CARIBBEAN,0.1
Tim Hector,Antigua and Barbuda,CARIBBEAN,0.1
Cheryl Mary Clare Hurst,Antigua and Barbuda,CARIBBEAN,0.1
Wilfred Jacobs,Antigua and Barbuda,CARIBBEAN,0.1
Rick James (actor),Antigua and Barbuda,CARIBBEAN,0.1
Kiz Johnson,Antigua and Barbuda,CARIBBEAN,0.1
Fabian Jones,Antigua and Barbuda,CARIBBEAN,0.1
Johnathan Joseph (politician),Antigua and Barbuda,CARIBBEAN,0.1
Kelvin Simon,Antigua and Barbuda,CARIBBEAN,0.1
Harold Lovell,Antigua and Barbuda,CARIBBEAN,0.1
Edmond Mansoor,Antigua and Barbuda,CARIBBEAN,0.1
David Massiah,Antigua and Barbuda,CARIBBEAN,0.1
Joanne Massiah,Antigua and Barbuda,CARIBBEAN,0.1
Dwayne George,Antigua and Barbuda,CARIBBEAN,0.1
Knacyntar Nedd,Antigua and Barbuda,CARIBBEAN,0.1
Melford Nicholas,Antigua and Barbuda,CARIBBEAN,0.1
Shawn Nicholas,Antigua and Barbuda,CARIBBEAN,0.1
Bernard Percival,Antigua and Barbuda,CARIBBEAN,0.1
Jamale Pringle,Antigua and Barbuda,CARIBBEAN,0.1
Philip Shoul,Antigua and Barbuda,CARIBBEAN,0.1
Rawdon Turner,Antigua and Barbuda,CARIBBEAN,0.1
Alincia Williams-Grant,Antigua and Barbuda,CARIBBEAN,0.1
Juan Alemann,Argentina,SOUTH AMERICA,46.3
Germán Alfaro,Argentina,SOUTH AMERICA,46.3
Joaquín Samuel de Anchorena,Argentina,SOUTH AMERICA,46.3
Juan Agustín Augier,Argentina,SOUTH AMERICA,46.3
Uladislao Augier,Argentina,SOUTH AMERICA,46.3
Marco Aurelio Avellaneda,Argentina,SOUTH AMERICA,46.3
Joaquín Belgrano,Argentina,SOUTH AMERICA,46.3
Antonio Bermejo,Argentina,SOUTH AMERICA,46.3
Antonio Beruti,Argentina,SOUTH AMERICA,46.3
Héctor Bidonde,Argentina,SOUTH AMERICA,46.3
Silvano Bores,Argentina,SOUTH AMERICA,46.3
Exequiel Bustillo,Argentina,SOUTH AMERICA,46.3
Mario Cafiero,Argentina,SOUTH AMERICA,46.3
Alberto Manuel Campos,Argentina,SOUTH AMERICA,46.3
Alejo Castex,Argentina,SOUTH AMERICA,46.3
Dámaso Centeno,Argentina,SOUTH AMERICA,46.3
Rossana Chahla,Argentina,SOUTH AMERICA,46.3
Lázaro Chiappe,Argentina,SOUTH AMERICA,46.3
Carlos Corach,Argentina,SOUTH AMERICA,46.3
Jorge Coscia,Argentina,SOUTH AMERICA,46.3
Carlos de la Rosa,Argentina,SOUTH AMERICA,46.3
Juan Carlos Del Bello,Argentina,SOUTH AMERICA,46.3
Luis L. Domínguez,Argentina,SOUTH AMERICA,46.3
Máximo Etchecopar,Argentina,SOUTH AMERICA,46.3
Héctor Toty Flores,Argentina,SOUTH AMERICA,46.3
Guillermo Francos,Argentina,SOUTH AMERICA,46.3
Juan Fugl,Argentina,SOUTH AMERICA,46.3
Santiago Gallo,Argentina,SOUTH AMERICA,46.3
Manuel José García,Argentina,SOUTH AMERICA,46.3
Juan José Gómez Centurión,Argentina,SOUTH AMERICA,46.3
Luis Carlos Gómez Centurión,Argentina,SOUTH AMERICA,46.3
Martín Guzmán,Argentina,SOUTH AMERICA,46.3
Federico Helguera,Argentina,SOUTH AMERICA,46.3
Fernando Iglesias (Argentine politician),Argentina,SOUTH AMERICA,46.3
Ricardo Kennedy,Argentina,SOUTH AMERICA,46.3
Carlos Kunkel,Argentina,SOUTH AMERICA,46.3
Norberto La Porta,Argentina,SOUTH AMERICA,46.3
Andrés Larroque,Argentina,SOUTH AMERICA,46.3
Julián de Leyva,Argentina,SOUTH AMERICA,46.3
Mónica López (politician),Argentina,SOUTH AMERICA,46.3
Lucio Victorio Mansilla,Argentina,SOUTH AMERICA,46.3
Nicolás Massot,Argentina,SOUTH AMERICA,46.3
Martín Menem,Argentina,SOUTH AMERICA,46.3
Juan Mignaburu,Argentina,SOUTH AMERICA,46.3
Guillermo Montenegro,Argentina,SOUTH AMERICA,46.3
Mariano Moreno,Argentina,SOUTH AMERICA,46.3
Marcelo Muniagurria,Argentina,SOUTH AMERICA,46.3
Fernando Nadra,Argentina,SOUTH AMERICA,46.3
Rómulo Sebastián Naón,Argentina,SOUTH AMERICA,46.3
Santiago G. O'Farrell,Argentina,SOUTH AMERICA,46.3
Alfredo Olmedo,Argentina,SOUTH AMERICA,46.3
Miguel Ángel Pesce,Argentina,SOUTH AMERICA,46.3
Carlos Petroni,Argentina,SOUTH AMERICA,46.3
Alejo Peyret,Argentina,SOUTH AMERICA,46.3
Aldo Pignanelli,Argentina,SOUTH AMERICA,46.3
Abel Posse,Argentina,SOUTH AMERICA,46.3
Enrique S. Quintana,Argentina,SOUTH AMERICA,46.3
Amán Rawson,Argentina,SOUTH AMERICA,46.3
Martín Sabbatella,Argentina,SOUTH AMERICA,46.3
Juan Pablo Schiavi,Argentina,SOUTH AMERICA,46.3
Héctor Tizón,Argentina,SOUTH AMERICA,46.3
Claudio Uberti,Argentina,SOUTH AMERICA,46.3
Arístides Villanueva,Argentina,SOUTH AMERICA,46.3
Jorge Yoma,Argentina,SOUTH AMERICA,46.3
Ashot Arsenyan,Armenia,WESTERN ASIA,3.0
Vigen Chitechyan,Armenia,WESTERN ASIA,3.0
Hayk Chobanyan,Armenia,WESTERN ASIA,3.0
Gurgen Egiazaryan,Armenia,WESTERN ASIA,3.0
Parunak Ferukhan,Armenia,WESTERN ASIA,3.0
Gevorg Ghazaryan (politician),Armenia,WESTERN ASIA,3.0
Andrias Ghukasyan,Armenia,WESTERN ASIA,3.0
Aram Grigoryan (politician),Armenia,WESTERN ASIA,3.0
Vahagn Hovakimyan,Armenia,WESTERN ASIA,3.0
Tigran Karapetyan,Armenia,WESTERN ASIA,3.0
Tigran Khzmalyan,Armenia,WESTERN ASIA,3.0
Mikayel Kotanyan,Armenia,WESTERN ASIA,3.0
Hrant Maloyan,Armenia,WESTERN ASIA,3.0
Khachatur Malumian,Armenia,WESTERN ASIA,3.0
Aram Manukyan,Armenia,WESTERN ASIA,3.0
Gevorg Melik-Karagyozyan,Armenia,WESTERN ASIA,3.0
Vahan Minakhoryan,Armenia,WESTERN ASIA,3.0
Ruben Miroyan,Armenia,WESTERN ASIA,3.0
Ruben Mirzakhanyan,Armenia,WESTERN ASIA,3.0
Badal Muradyan,Armenia,WESTERN ASIA,3.0
Narine Tukhikyan,Armenia,WESTERN ASIA,3.0
Gabriel Noradoungian,Armenia,WESTERN ASIA,3.0
Israel Ori,Armenia,WESTERN ASIA,3.0
Paul Paul,Armenia,WESTERN ASIA,3.0
Garo Paylan,Armenia,WESTERN ASIA,3.0
Genrikh Poghosyan,Armenia,WESTERN ASIA,3.0
Ishkhan Saghatelyan,Armenia,WESTERN ASIA,3.0
Karen Sargsyan (sociologist),Armenia,WESTERN ASIA,3.0
Martiros Sarukhanyan,Armenia,WESTERN ASIA,3.0
Vartkes Serengülian,Armenia,WESTERN ASIA,3.0
Suren Shadunts,Armenia,WESTERN ASIA,3.0
Ohannes Tchekidjian,Armenia,WESTERN ASIA,3.0
Hrayr Tovmasyan,Armenia,WESTERN ASIA,3.0
Usub Bek Temuryan,Armenia,WESTERN ASIA,3.0
Kegham Vanigian,Armenia,WESTERN ASIA,3.0
Serop Zakaryan,Armenia,WESTERN ASIA,3.0
Alfons Adam,Austria,WESTERN EUROPE,9.2
Ingo Appelt,Austria,WESTERN EUROPE,9.2
"Maximilian Anton Karl, Count Baillet de Latour",Austria,WESTERN EUROPE,9.2
Heinrich Alfred Barb,Austria,WESTERN EUROPE,9.2
Leopold Berchtold,Austria,WESTERN EUROPE,9.2
Joseph Buttinger,Austria,WESTERN EUROPE,9.2
Prince Carl of Solms-Braunfels,Austria,WESTERN EUROPE,9.2
Count Václav Antonín Chotek of Chotkov and Vojnín,Austria,WESTERN EUROPE,9.2
Citizens' Ministry,Austria,WESTERN EUROPE,9.2
Richard von Coudenhove-Kalergi,Austria,WESTERN EUROPE,9.2
Franz Dinghofer,Austria,WESTERN EUROPE,9.2
George Abraham von Dyhrn,Austria,WESTERN EUROPE,9.2
Eduard von Grebmer zu Wolfsthurn,Austria,WESTERN EUROPE,9.2
Barbara Eibinger-Miedl,Austria,WESTERN EUROPE,9.2
Hans Ferlitsch,Austria,WESTERN EUROPE,9.2
Friedhelm Frischenschlager,Austria,WESTERN EUROPE,9.2
Walter Guggenberger,Austria,WESTERN EUROPE,9.2
Ulrich Habsburg-Lothringen,Austria,WESTERN EUROPE,9.2
